algorithm,getdata,sql,prep,splitsort1,algo1,combine,amm,qsl,splitsort2,algo2,json,total
fagins,0.00033283233642578125,65.92931818962097,7.88018798828125,0.09071993827819824,0.024706125259399414,6.9141387939453125e-06,0.00013899803161621094,1.6927719116210938e-05,0.0010762214660644531,0.001889944076538086,0.00023674964904785156,73.92863082885742
fagins,0.0004489421844482422,63.53543496131897,7.923385858535767,0.09437894821166992,0.024232149124145508,5.0067901611328125e-06,0.00013208389282226562,1.4781951904296875e-05,0.0008590221405029297,0.00162506103515625,0.000186920166015625,71.58070373535156
fagins,0.00045990943908691406,62.52887511253357,8.227583885192871,0.08915519714355469,0.02398204803466797,5.9604644775390625e-06,0.00013208389282226562,1.5735626220703125e-05,0.0008420944213867188,0.001631021499633789,0.00018787384033203125,70.87287092208862
fagins,0.0003490447998046875,69.86523485183716,7.92958402633667,0.08621096611022949,0.024940013885498047,5.7220458984375e-06,0.0002460479736328125,3.218650817871094e-05,0.0010008811950683594,0.00167083740234375,0.00019502639770507812,77.90946960449219
fagins,0.00021910667419433594,54.43138790130615,7.947258949279785,0.11369204521179199,0.06927275657653809,1.0251998901367188e-05,0.00013685226440429688,1.4781951904296875e-05,0.000885009765625,0.001714944839477539,0.0001952648162841797,62.56478786468506
fagins,0.0004868507385253906,62.596107006073,8.976130962371826,0.14913678169250488,0.03359794616699219,7.867813110351562e-06,0.00014710426330566406,0.0002951622009277344,0.0013229846954345703,0.00177001953125,0.0002307891845703125,71.75923347473145
fagins,0.0009129047393798828,74.60926628112793,7.807703733444214,0.09715509414672852,0.024728775024414062,5.0067901611328125e-06,0.00013184547424316406,1.52587890625e-05,0.000843048095703125,0.0016169548034667969,0.00018787384033203125,82.54256677627563
fagins,0.0002372264862060547,60.50236701965332,8.61885690689087,0.09444618225097656,0.025749921798706055,6.198883056640625e-06,0.0001628398895263672,2.5987625122070312e-05,0.0011608600616455078,0.0019190311431884766,0.00023293495178222656,69.2451651096344
fagins,0.00032901763916015625,67.59949803352356,8.231803894042969,0.09001421928405762,0.024789094924926758,5.0067901611328125e-06,0.0001327991485595703,1.7881393432617188e-05,0.0008611679077148438,0.0016341209411621094,0.00018596649169921875,75.9492712020874
fagins,0.0006852149963378906,64.69633197784424,7.839540958404541,0.08719778060913086,0.024631023406982422,5.9604644775390625e-06,0.00013208389282226562,1.4066696166992188e-05,0.0008399486541748047,0.0016341209411621094,0.0001850128173828125,72.65119814872742
fagins,0.00018095970153808594,68.3680739402771,8.134926080703735,0.08976387977600098,0.026654958724975586,5.245208740234375e-06,0.0001327991485595703,1.621246337890625e-05,0.0008740425109863281,0.001886129379272461,0.00019097328186035156,76.62270522117615
fagins,0.0007250308990478516,68.98030996322632,7.843012094497681,0.09790492057800293,0.026288986206054688,4.0531158447265625e-06,0.00013494491577148438,0.00023818016052246094,0.0012378692626953125,0.0018019676208496094,0.00020313262939453125,76.95186114311218
fagins,0.0007448196411132812,71.53369212150574,9.07892394065857,0.1142129898071289,0.026018619537353516,1.71661376953125e-05,0.0001819133758544922,2.9325485229492188e-05,0.0014519691467285156,0.0017211437225341797,0.00019979476928710938,80.75719380378723
fagins,0.0010542869567871094,71.73932814598083,7.934090852737427,0.1033329963684082,0.02526688575744629,5.9604644775390625e-06,0.00013518333435058594,1.4781951904296875e-05,0.0008652210235595703,0.0016467571258544922,0.0001850128173828125,79.80592608451843
fagins,0.0013592243194580078,78.88610601425171,8.111515283584595,0.08925986289978027,0.02625584602355957,7.152557373046875e-06,0.0001380443572998047,1.5735626220703125e-05,0.000843048095703125,0.001611948013305664,0.00019478797912597656,87.11730694770813
fagins,0.0040130615234375,74.30888390541077,8.132439851760864,0.10960602760314941,0.02394390106201172,5.245208740234375e-06,0.00013184547424316406,1.5020370483398438e-05,0.0008289813995361328,0.0016326904296875,0.00018715858459472656,82.58168768882751
fagins,0.0009188652038574219,65.22029709815979,8.026391983032227,0.10503816604614258,0.02755880355834961,5.245208740234375e-06,0.00013494491577148438,1.6927719116210938e-05,0.0014560222625732422,0.0016579627990722656,0.00023102760314941406,73.38370704650879
fagins,0.0008602142333984375,65.78598284721375,9.253607988357544,0.1279900074005127,0.026126861572265625,7.152557373046875e-06,0.002140045166015625,1.5974044799804688e-05,0.0009591579437255859,0.001886129379272461,0.0004429817199707031,75.20001935958862
